inlf,hours,kidslt6,kidsge6,age,educ,wage,repwage,hushrs,husage,huseduc,huswage,faminc,mtr,motheduc,fatheduc,unem,city,exper,nwifeinc
1,1610,1,0,32,12,3.354000092,2.650000095,2708,34,12,4.028800011,16310,0.721499979,12,7,5,0,14,10.91005993
1,1656,0,2,30,12,1.388900042,2.650000095,2310,30,9,8.441599846,21800,0.661499977,7,7,11,1,5,19.49998093
1,1980,1,3,35,12,4.545499802,4.039999962,3072,40,12,3.580699921,21040,0.691500008,12,7,5,0,15,12.03991032
1,456,0,3,34,12,1.096500039,3.25,1920,53,10,3.541699886,7300,0.781499982,7,7,5,0,6,6.799995899
1,1568,1,2,31,14,4.591800213,3.599999905,2000,32,12,10,27300,0.621500015,12,14,9.5,1,7,20.1000576
1,2032,0,0,54,12,4.742099762,4.699999809,1040,57,11,6.710599899,19495,0.691500008,14,7,7.5,1,33,9.859053612
1,1440,0,2,37,16,8.333299637,5.949999809,2670,37,12,3.427700043,21152,0.691500008,14,7,5,0,11,9.152048111
1,1020,0,0,54,12,7.843100071,9.979999542,4120,53,8,2.548500061,18900,0.691500008,3,3,5,0,35,10.90003777
1,1458,0,2,48,12,2.126199961,0,1995,52,4,4.220600128,20405,0.75150001,7,7,3,0,24,17.30500031
1,1600,0,2,39,12,4.6875,4.150000095,2100,43,12,5.714300156,20425,0.691500008,7,7,5,0,21,12.92500019
1,1969,0,1,33,12,4.063000202,4.300000191,2450,34,12,9.795900345,32300,0.581499994,12,3,5,0,15,24.29995346
1,1960,0,1,42,11,4.591800213,4.579999924,2375,47,14,8,28700,0.621500015,14,7,5,0,14,19.70007133
1,240,1,2,30,12,2.083300114,0,2830,33,16,5.30039978,15500,0.721499979,16,16,5,0,0,15.00000763
1,997,0,2,43,12,2.266799927,3.5,3317,46,12,4.341300011,16860,0.721499979,10,10,7.5,1,14,14.60000038
1,1848,0,1,43,10,3.679699898,3.380000114,2024,45,17,10.86999989,31431,0.581499994,7,7,7.5,1,6,24.63091469
1,1224,0,3,35,11,1.347200036,0,1694,38,12,9.149900436,19180,0.721499979,16,10,7.5,1,9,17.53102684
1,1400,0,2,43,12,3.214299917,4,2156,45,12,6.122399807,18600,0.691500008,10,7,7.5,1,20,14.09998035
1,640,0,5,39,12,5.175000191,2.25,2250,40,12,6.149799824,19151,0.721499979,12,12,7.5,1,6,15.83899975
1,2000,0,0,45,12,2,2.299999952,2024,51,11,6.916999817,18100,0.691500008,7,7,5,1,23,14.10000038
1,1324,0,4,35,12,7.552899837,3.940000057,2123,40,10,4.710299969,20300,0.691500008,12,7,5,0,9,10.29996109
1,2215,0,2,42,16,3.505199909,3.299999952,4160,48,16,3.131000042,30419,0.621500015,10,16,7.5,0,5,22.65498161
1,1680,0,0,30,12,3.571399927,3.799999952,2000,35,12,4,14090,0.721499979,12,10,3,0,11,8.090047836
1,1600,0,0,48,13,3.25,3.25999999,2420,52,17,7.222700119,22679,0.661499977,7,3,5,1,18,17.47900009
1,800,0,0,45,12,3.25,2.200000048,1150,53,17,7.965199947,12160,0.721499979,7,7,11,0,15,9.56000042
1,1955,1,1,31,12,2.154500008,2.299999952,2024,31,12,4.088399887,12487,0.75150001,12,7,5,1,4,8.274952888
1,660,0,2,43,17,3.787899971,0,1904,43,17,14.18099976,29850,0.581499994,16,14,9.5,1,21,27.34998512
1,525,0,0,59,12,4,3.180000067,2448,53,16,6.535900116,18100,0.691500008,3,7,9.5,1,31,16
1,1904,0,3,32,12,4.726900101,6.070000172,2000,33,13,8.5,26000,0.661499977,3,7,11,1,9,16.99998283
1,1516,1,0,31,17,7.255899906,6,2390,30,17,6.276199818,26100,0.621500015,12,12,5,0,7,15.10005569
1,346,0,0,42,12,5.867099762,6.389999866,1920,47,10,5.208300114,17730,0.721499979,12,12,9.5,0,7,15.6999836
1,1040,0,0,50,11,1.538499951,0,1840,53,10,2.782099962,6719,0.75150001,7,7,7.5,1,32,5.118959904
1,732,0,0,59,16,2.459000111,2.5,3360,57,17,4.910699844,18550,0.691500008,3,3,14,1,11,16.75001144
1,1880,0,2,36,13,5.851099968,5.199999809,2284,35,13,5.866899967,24600,0.661499977,12,10,7.5,0,16,13.59993172
1,1680,0,1,51,12,3.571399927,3.289999962,1875,50,8,7.519999981,23100,0.691500008,7,14,5,1,14,17.10004807
1,2081,0,3,45,16,3.806799889,4.190000057,2140,47,17,7.54489994,24656,0.661499977,12,12,5,1,27,16.73404884
1,690,0,1,42,11,2.463799953,0,1896,44,8,5.538000107,15897,0.75150001,10,3,7.5,0,0,14.19697762
1,4210,0,0,46,12,2.375299931,4.630000114,1040,49,16,6.923099995,20320,0.691500008,3,3,11,1,17,10.3199873
1,2205,0,1,46,10,4.535099983,4.550000191,2200,52,12,5,21384,0.661499977,10,3,11,0,28,11.38410473
1,1952,0,0,51,14,5.618299961,5.599999905,1952,58,12,7.306399822,25561,0.621500015,7,7,14,0,24,14.59407806
1,1302,0,0,30,17,14.63099957,9.529999733,1560,30,17,11.21800041,36550,0.579999983,14,17,5,1,11,17.50043869
1,112,1,2,30,12,2.678600073,0,4030,33,16,3.846199989,15810,0.721499979,12,12,3,0,1,15.50999641
1,893,0,0,57,12,3.919399977,3.5,2570,58,12,5.836599827,25500,0.621500015,9,9,7.5,1,14,21.9999752
1,583,1,2,31,16,2.572900057,9.979999542,1530,34,16,13.72500038,24000,0.661499977,14,16,9.5,1,6,22.5
1,480,0,2,48,12,4.537499905,4.650000095,3149,48,8,6.349299908,22172,0.661499977,3,3,5,0,10,19.99399948
1,1900,0,3,30,12,2,2.230000019,2690,32,12,5.252799988,17930,0.721499979,12,7,5,0,6,14.13000011
1,576,0,2,34,12,3.472199917,3.839999914,3096,33,12,1.307500005,7000,0.781499982,12,7,3,0,4,5.000012875
1,2056,0,2,48,16,2.01609993,0,2552,53,16,2.799799919,25300,0.721499979,14,16,5,1,10,21.15489769
1,1984,0,0,45,12,4.57159996,4.820000172,2040,47,11,2.696099997,16212,0.721499979,10,10,11,0,22,7.141945839
1,2640,0,0,51,12,2.272700071,0,2180,50,13,7.568799973,22650,0.661499977,7,7,3,0,16,16.6500721
1,240,0,2,30,12,2.637500048,0,1864,37,12,3.407700062,6985,0.781499982,12,7,14,0,6,6.35199976
1,1173,0,1,46,12,2.289900064,2.5,2068,46,12,6.540100098,30000,0.691500008,7,7,11,1,12,27.31394768
1,3640,0,0,58,12,1.098899961,0,2010,58,12,7.213900089,18500,0.691500008,7,3,9.5,1,32,14.50000381
1,340,0,8,37,12,1.176499963,0,2152,40,10,6.273200035,16658,0.75150001,12,7,5,0,15,16.25798988
1,500,0,0,52,8,1.600000024,0,1496,54,11,5.882400036,10300,0.75150001,7,7,5,1,17,9.5
1,1599,0,0,52,10,1.876199961,2.799999952,2100,47,4,3.809499979,11000,0.75150001,7,3,7.5,0,34,7.999956131
1,1830,0,0,31,16,4.043700218,4.199999809,1960,35,14,6.377600193,19900,0.691500008,12,12,7.5,1,9,12.50002861
1,1920,0,0,55,14,9.635399818,8.75,1985,55,15,6.045300007,32500,0.639999986,7,7,14,1,37,14.00003242
1,2052,0,0,34,17,8.04090023,8.25,2020,33,17,8.811900139,37300,0.579999983,17,17,7.5,1,10,20.80007362
1,2312,0,0,55,14,4.598999977,5.579999924,2178,56,16,8.87650013,30018,0.581499994,17,7,11,1,35,19.38511276
1,196,0,2,39,12,2.14289999,2.5,3684,39,12,3.342000008,12807,0.75150001,12,7,14,1,6,12.3869915
1,2500,0,3,40,14,4.400000095,5.5,5010,42,13,3.183599949,39500,0.551500022,14,3,7.5,0,19,28.5
1,1980,0,4,43,12,3.535399914,3.75,1880,47,12,6.914899826,22050,0.691500008,12,12,9.5,1,10,15.04990864
1,1840,0,0,48,8,2.717400074,4.800000191,1904,56,8,5.514699936,15500,0.721499979,7,7,14,1,11,10.49998379
1,320,0,0,47,12,6.25,6.25,2083,47,12,5.280799866,13810,0.721499979,7,7,9.5,1,15,11.81000042
1,419,0,4,41,12,11.93299961,6.300000191,2125,44,12,3.200000048,11950,0.75150001,7,7,5,1,12,6.950073242
1,1880,0,0,36,8,3.593100071,3.75,1985,37,12,5.879099846,19175,0.691500008,12,12,7.5,0,12,12.41997147
1,72,0,2,46,17,6.944399834,0,2640,48,17,6.25,17900,0.691500008,12,16,7.5,0,14,17.40000343
1,120,0,0,34,12,2.916699886,0,2070,51,8,7.48789978,15850,0.721499979,12,7,5,1,11,15.49999619
1,1885,0,3,41,12,3.076900005,2.900000095,2107,48,8,6.976699829,27017,0.691500008,7,7,5,1,9,21.21704292
1,240,0,1,51,12,3.75,0,2250,54,10,8,18900,0.691500008,12,7,5,0,24,18
1,1729,0,0,33,12,5.725900173,4.760000229,2880,34,16,4.131899834,21800,0.691500008,12,12,7.5,1,12,11.89991856
1,1850,0,0,52,12,3.675699949,3.400000095,1848,53,12,14.47599983,33552,0.551500022,10,10,7.5,1,13,26.75195503
1,2033,0,0,58,9,5.164800167,4.320000172,1927,53,7,5.734300137,22650,0.661499977,7,9,7.5,1,29,12.14996147
1,608,2,4,34,10,8.22369957,3,1304,38,9,3.374200106,15200,0.791499972,0,0,7.5,1,11,10.19999027
1,1153,0,1,31,12,4.336500168,4.519999981,3000,35,12,1.833299994,13120,0.721499979,7,10,7.5,1,13,8.120015144
1,2208,0,1,48,12,4.981900215,5.309999943,1892,52,12,5.602499962,21660,0.661499977,12,14,5,1,19,10.65996456
1,252,0,2,32,12,0.35710001,0,3644,32,12,4.297500134,18190,0.721499979,7,7,3,0,2,18.10000992
1,337,0,0,49,17,2.967400074,0,1430,47,17,3.916100025,9600,0.75150001,3,3,14,1,24,8.599986076
1,90,2,2,32,15,1,0,2350,31,14,4.87869978,13755,0.75150001,10,12,7.5,1,9,13.66499996
1,1174,0,0,58,12,2.555399895,4.869999886,1948,59,16,9.240200043,35350,0.661499977,7,12,7.5,1,6,32.34996033
1,372,0,0,50,6,0.860199988,2.25,1804,42,12,6.651899815,12405,0.721499979,12,7,7.5,1,22,12.08500576
1,30,0,0,60,14,1,0,2326,51,12,4.62169981,12180,0.75150001,12,17,9.5,0,30,12.14999962
1,1800,0,1,50,12,2.926100016,0,1739,55,11,9.974100113,22962,0.661499977,7,3,7.5,1,10,17.69502068
1,282,0,0,56,14,3.546099901,2.5,1176,57,17,20.91799927,25700,0.621500015,7,7,9.5,1,6,24.70000076
1,720,0,0,51,9,1.626399994,2.200000048,1100,55,8,1.940000057,3305,0.791499972,7,7,3,0,29,2.133991957
1,1440,0,1,54,17,8.333299637,6,1528,58,17,8.835100174,32950,0.581499994,7,12,5,1,29,20.95004845
1,2100,0,0,59,13,3.095200062,2.950000048,2250,52,15,4.666699886,17000,0.691500008,7,7,5,1,36,10.50008011
1,1000,0,2,46,9,2.700000048,2.349999905,1927,47,10,5.189400196,13250,0.75150001,7,7,5,1,19,10.55000019
1,952,0,1,46,15,5.252099991,0,2414,47,16,18.72400093,50750,0.441500008,7,12,5,1,8,45.75
1,1413,1,3,39,12,1.415400028,2.200000048,768,49,8,10.41699982,15632,0.771499991,10,10,14,0,13,13.63204002
1,2100,0,2,44,12,4.798600197,4.849999905,1984,43,14,8.8458004,28316,0.621500015,7,0,11,1,16,18.23893929
1,120,2,0,33,12,1.666700006,2.369999886,2246,36,12,7.568999767,17290,0.721499979,12,12,9.5,1,11,17.08999634
1,3000,1,2,33,12,1.121700048,0,3024,30,17,4.450699806,33600,0.621500015,10,10,7.5,1,15,30.23489952
1,1000,0,2,48,12,0.5,0,2921,52,12,9.320400238,29200,0.621500015,12,7,9,1,6,28.70000076
1,336,0,4,31,12,0.714299977,0,2045,37,17,9.168700218,19870,0.691500008,7,7,11,0,13,19.62999535
1,1216,0,1,45,12,2.796099901,2.900000095,1928,44,12,6.483399868,16225,0.721499979,7,7,11,0,22,12.82494259
1,988,0,1,45,12,4.858300209,4.5,1920,44,10,7.8125,28600,0.691500008,7,3,5,1,24,23.79999924
1,2581,0,2,32,13,1.743499994,2.599999905,2280,37,17,11.40400028,30800,0.581499994,14,12,7.5,1,2,26.30002594
1,2030,0,0,47,12,2.463099957,2.799999952,2300,47,17,5.086999893,25700,0.691500008,7,7,3,0,6,20.6999073
1,413,0,2,34,13,2.421299934,3,2480,35,13,6.975800037,27000,0.621500015,12,12,3,0,2,26.00000381
1,782,0,1,37,12,1.534500003,2.299999952,1135,34,10,5.286300182,12077,0.771499991,12,7,9.5,1,2,10.87702084
1,1388,0,1,36,12,2.881799936,1.870000005,1384,39,12,11.56200027,29612,0.661499977,7,7,11,0,14,25.61206245
1,1450,1,2,47,12,2.406899929,3,1848,50,14,8.606100082,24479,0.691500008,7,10,9.5,1,9,20.9889946
1,1720,0,1,48,16,5.232600212,4.679999828,2499,46,17,12.80500031,79750,0.441500008,14,14,7.5,1,11,70.74993134
1,800,0,2,42,12,3.75,2.5,2390,43,12,6.694600105,20050,0.691500008,12,7,11,0,9,17.04999924
1,360,0,3,33,13,1.388900042,0,2400,44,14,8.333299637,21500,0.691500008,10,12,11,1,6,20.99999619
1,2000,0,0,46,11,4,4.610000134,1920,53,8,4.166699886,16120,0.691500008,7,7,5,0,19,8.119999886
1,1176,0,3,47,12,3.231300116,3.349999905,2301,48,13,5.475900173,24686,0.721499979,7,7,9.5,0,26,20.88599014
1,2058,0,1,44,12,3.401400089,3.799999952,1944,43,10,5.144000053,24669,0.691500008,7,10,9.5,1,19,17.66891861
1,900,0,4,36,12,1.333299994,2.200000048,2100,37,17,11.66699982,26400,0.661499977,7,7,7.5,1,3,25.20002937
1,215,2,0,31,17,9.302300453,9.979999542,1920,32,16,7.291699886,16245,0.721499979,12,12,7.5,1,7,14.24500561
1,2000,0,0,55,14,4.5,4.369999886,2880,55,14,4.861100197,23300,0.661499977,7,7,9.5,1,28,14.30000019
1,757,0,1,45,16,4.62349987,4.5,1932,48,16,12.16399956,27200,0.621500015,12,7,9.5,1,13,23.7000103
1,1264,0,0,47,17,3.955699921,0,3234,48,17,10.82299995,51000,0.461499989,10,17,9.5,1,9,45.99999619
1,2064,0,3,46,12,5.81400013,6,2805,47,12,12.47799969,55000,0.461499989,10,7,14,1,15,42.99990463
1,1280,0,0,49,11,0.5,0,2272,52,9,6.162000179,15389,0.721499979,7,7,7.5,1,20,14.7489996
1,1715,0,0,49,12,4.081600189,3.75,2227,52,14,7.184599876,23150,0.661499977,7,7,9.5,1,29,16.15005493
1,2000,0,2,45,12,6,4.949999809,1720,49,6,7.092999935,29774,0.621500015,7,10,14,1,9,17.77400017
1,12,1,3,38,17,3.666699886,0,2300,38,13,17.82600021,91044,0.441500008,12,10,14,1,1,91
1,1528,0,0,47,10,3.861299992,2.950000048,3410,50,12,6.393000126,28200,0.581499994,7,12,14,1,8,22.29993439
1,561,0,3,54,13,2.762900114,2.529999971,2304,57,16,11.71899986,36150,0.551500022,7,7,9.5,1,19,34.60001373
1,2058,0,0,41,11,2.930999994,2.900000095,1984,42,12,4.788300037,15652,0.721499979,12,12,7.5,0,23,9.620001793
1,1823,0,2,43,12,4.388400078,4.199999809,1890,33,14,4.232800007,18900,0.75150001,14,7,11,0,3,10.89994621
1,1680,1,1,31,16,5.416699886,4.699999809,1970,32,12,7.106599808,23600,0.661499977,12,10,7.5,0,13,14.49994373
1,1440,0,0,47,17,9.861100197,7.099999905,2400,46,12,8.333299637,36200,0.610000014,7,7,7.5,1,8,22.00001526
1,4950,0,2,35,12,0.161599994,2.75,2504,37,12,6.988800049,18700,0.691500008,10,10,7.5,0,17,17.90007973
1,1176,0,3,45,16,0.382600009,3.75,2398,48,17,9.591300011,24125,0.661499977,7,7,11,1,4,23.67506218
1,1100,1,0,33,12,3.636399984,3.579999924,1960,39,12,6.020400047,15800,0.721499979,7,7,7.5,0,15,11.79996014
1,1516,0,1,54,16,2.374700069,2.400000095,2550,55,12,2.968600035,19742,0.721499979,12,7,3,0,11,16.14195442
1,900,0,4,35,8,4.666699886,3.950000048,2500,41,12,7,22600,0.691500008,10,7,9.5,0,7,18.39997101
1,1080,1,2,31,12,1.851899981,2.25,2164,37,10,7.162700176,17500,0.721499979,7,7,7.5,0,0,15.49994755
1,480,0,0,55,12,5.199999809,0,2640,60,12,4.736400127,19820,0.691500008,7,7,7.5,0,0,17.3239994
1,288,0,2,34,12,3.298599958,4.619999886,1936,36,12,8.781000137,20155,0.691500008,12,16,11,1,10,19.20500374
1,1875,0,1,38,13,8.5333004,8.5,2136,41,12,9.831500053,37300,0.579999983,10,12,7.5,1,8,21.30006218
1,630,0,1,45,11,2.063499928,0,1955,51,10,6.649600029,24860,0.721499979,7,7,7.5,1,2,23.55999565
1,234,0,1,47,12,2.564100027,2.5,1980,48,10,9.848500252,21450,0.661499977,12,3,7.5,1,4,20.85000038
1,1600,0,2,39,12,2.1875,0,2550,42,11,9.803899765,29650,0.621500015,7,7,5,1,6,26.14999962
1,960,1,0,36,14,6.25,0,2058,37,13,8.260399818,23000,0.661499977,7,7,11,1,18,17
1,120,1,2,33,12,3.333300114,0,2263,32,14,9.06760025,21120,0.691500008,7,7,9,1,3,20.72000313
1,2025,0,0,50,12,4.444399834,4.800000191,1763,54,13,8.508199692,26000,0.621500015,7,12,5,1,22,17.00008965
1,1809,0,0,58,12,6.633500099,6.449999809,2096,59,14,7.156499863,28000,0.621500015,3,7,7.5,1,33,15.99999809
1,3087,0,0,49,17,8.422400475,9.979999542,2059,47,13,7.042300224,45500,0.519999981,12,12,11,1,28,19.50004959
1,910,0,2,41,14,4.395599842,0,1820,40,17,6.593400002,16000,0.721499979,16,12,14,1,23,12.00000381
1,1840,0,1,51,12,2.44569993,2.5,2832,53,8,4.345699787,18232,0.691500008,7,14,11,0,27,13.73191166
1,784,0,0,53,9,1.224499941,2.25,1990,60,10,7.236199856,28160,0.721499979,3,7,14,1,11,27.19999123
1,400,1,2,36,12,1.625,0,2000,40,7,1.74000001,5965,0.801500022,12,7,11,1,6,5.315000057
1,1000,0,2,46,12,3,5.5,1885,46,12,6.89659977,19000,0.721499979,7,7,9.5,1,11,16
1,1904,0,2,36,12,4.726900101,4.199999809,2860,37,12,5.045499802,36872,0.551500022,12,12,11,1,14,27.87198257
1,1771,0,1,53,14,1.129299998,9.979999542,1913,48,16,17.25,42000,0.49149999,12,12,14,1,17,40.00001144
1,1486,0,3,40,16,7.402400017,6.25,1800,54,16,8.333299637,26900,0.621500015,16,14,11,1,17,15.90003395
1,740,0,2,42,17,4.459499836,1.649999976,2880,45,16,9.375,30800,0.581499994,12,10,9,0,14,27.49996948
1,1820,1,1,33,15,2.472500086,0,1993,32,16,8.279000282,21520,0.691500008,12,12,11,1,11,17.02005005
1,1275,0,3,43,12,1.882400036,3,2250,47,14,4.5,24795,0.691500008,7,7,7.5,1,7,22.39493942
1,450,1,0,31,16,4,4,2286,30,16,4.199500084,12900,0.721499979,14,16,14,1,8,11.10000038
1,1221,0,0,47,17,8.18999958,5.989999771,1880,47,16,16.06399918,42700,0.49149999,7,7,7.5,1,6,32.70001221
1,1550,0,0,54,17,7.09679985,6,2350,58,17,11.27700043,38800,0.521499991,10,17,11,1,8,27.79996109
1,180,1,3,33,12,1.666700006,0,3640,33,11,0.549399972,2500,0.941500008,7,3,3,0,4,2.199994087
1,2090,0,0,43,16,3.444999933,3.849999905,1770,47,14,9.548000336,26921,0.621500015,14,10,11,1,25,19.72095108
1,1960,0,1,46,13,4.234700203,4.199999809,1875,49,13,5.333300114,18300,0.691500008,7,9,3,0,24,9.999987602
1,1440,0,3,35,12,2.777800083,4.099999905,2200,38,9,5.454500198,17200,0.721499979,7,7,14,1,11,13.19996834
1,794,0,3,37,11,1.889199972,3.849999905,2033,39,12,5.902599812,14209,0.75150001,12,3,9.5,1,19,12.70897484
1,993,0,2,37,16,5.035200119,8.300000191,2739,39,17,9.857600212,32300,0.581499994,12,16,14,1,9,27.30004692
1,160,0,3,34,14,1.25,0,1626,38,14,11.68500042,21400,0.721499979,17,12,7.5,1,19,21.20000076
1,105,1,0,43,16,2.85710001,0,2248,44,17,6.227799892,14700,0.721499979,7,7,9.5,0,14,14.40000439
1,1200,0,0,46,12,4.116700172,4.329999924,2140,48,12,9.174799919,25516,0.621500015,7,7,9.5,1,22,20.57596016
1,450,0,3,35,9,1.777799964,2.599999905,1985,42,12,6.297200203,13300,0.75150001,3,7,5,1,6,12.49999046
1,996,0,0,46,17,13.5539999,9.979999542,1528,59,17,10.47099972,31000,0.581499994,12,12,9.5,1,23,17.50021553
1,1052,0,0,46,14,4.562699795,4.900000095,1920,48,16,14.58300018,48800,0.49149999,7,3,11,1,15,44.00003815
1,1128,0,2,43,12,2.12770009,2.400000095,1918,46,10,6.214300156,15519,0.721499979,7,7,14,1,6,13.11895466
1,1840,0,0,30,12,2.989099979,3.75,2112,30,12,6.628799915,19500,0.691500008,7,7,7.5,0,11,14.00005627
1,1910,0,2,41,11,2.565399885,2.569999933,2144,46,9,3.824599981,14545,0.721499979,3,7,5,0,2,9.645086288
1,980,0,1,54,12,5.612199783,5,1920,54,15,7.8125,22897,0.691500008,7,7,14,1,22,17.39704514
